MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
121.5,-13.07,0.0,40,2,3,2.75,10
119.61,-12.35,0.0,190,2,18,4.25,6
118.51,-11.9,0.0,130,2,1,0.75,15
120.71,-12.77,0.0,170,2,17,4.25,13
100.56,-0.55,0.0,180,0,17,6.75,14
119.4,-12.26,0.0,200,2,19,4.25,1
118.41,-11.86,0.0,130,2,3,2.5,17
121.56,-13.09,0.0,30,1,6,9.25,10
100.53,-0.52,0.0,190,0,8,8.25,2
120.37,-12.64,0.0,90,2,8,5.5,4
119.5,-12.3,0.0,80,2,13,6.0,17
118.67,-11.97,0.0,10,1,1,5.5,9
118.91,-12.07,0.0,190,2,9,3.5,5
119.5,-12.3,0.0,40,2,1,0.25,19
120.67,-12.76,0.0,120,1,5,6.5,10
119.51,-12.31,0.0,150,1,2,6.25,9
119.22,-12.19,0.0,180,1,19,0.5,6
119.89,-12.46,0.0,190,2,10,3.75,2
119.58,-12.34,0.0,160,2,1,4.5,8
119.52,-12.31,0.0,180,1,10,1.25,10
0.0,0.0,83.33333333,40,0,5,9.5,16
118.56,-11.92,0.0,190,1,1,2.75,14
119.9,-12.46,0.0,200,2,9,5.0,5
120.62,-12.74,0.0,140,1,5,6.0,3
121.22,-12.97,0.0,60,2,20,6.0,3
117.27,-11.37,0.0,100,1,6,3.5,2
0.0,0.0,83.33333333,110,0,12,3.5,11
119.0,-12.1,0.0,60,2,17,1.5,18
101.67,-1.59,0.0,120,0,2,2.5,11
100.59,-0.58,0.0,170,0,13,8.0,18
117.33,-11.4,0.0,30,2,11,6.75,1
115.33,-10.5,0.0,10,2,1,6.75,5
120.44,-12.67,0.0,150,2,12,1.5,1
119.33,-12.24,0.0,20,2,16,2.25,3
120.0,-12.5,0.0,50,2,4,4.5,7
120.8,-12.81,0.0,150,2,14,5.5,18
119.17,-12.17,0.0,120,2,1,4.75,3
100.71,-0.7,0.0,140,0,8,6.25,14
121.42,-13.04,0.0,80,2,16,9.25,20
100.63,-0.61,0.0,160,0,1,7.0,9
0.0,0.0,83.33333333,50,0,9,2.0,5
100.91,-0.88,0.0,110,0,4,2.5,18
119.62,-12.35,0.0,70,1,16,4.5,14
120.56,-12.71,0.0,180,1,12,1.25,11
0.0,0.0,83.33333333,10,0,5,8.5,19
119.56,-12.32,0.0,30,2,20,3.75,19
120.87,-12.83,0.0,100,2,6,3.75,1
0.0,0.0,83.33333333,100,0,13,3.25,13
119.8,-12.42,0.0,100,1,16,4.75,11
117.0,-11.26,0.0,20,2,16,7.0,10
119.52,-12.31,0.0,180,1,18,8.75,3
121.61,-13.11,0.0,120,1,18,2.75,2
120.16,-12.56,0.0,170,1,14,10.0,2
0.0,0.0,83.33333333,60,0,17,9.0,5
127.33,-15.02,0.0,10,1,11,3.75,2
0.0,0.0,83.33333333,140,0,17,1.75,13
0.0,0.0,83.33333333,70,0,18,4.0,7
120.15,-12.56,0.0,90,1,10,2.0,7
120.22,-12.59,0.0,120,2,3,2.0,1
119.48,-12.29,0.0,140,2,15,0.25,15
119.73,-12.39,0.0,170,1,18,3.0,1
0.0,0.0,83.33333333,200,0,18,0.5,15
119.82,-12.43,0.0,190,1,4,6.5,17
119.53,-12.32,0.0,100,2,18,7.5,19
119.33,-12.24,0.0,40,1,12,3.0,13
102.22,-2.08,0.0,90,0,12,5.0,15
0.0,0.0,83.33333333,10,0,11,5.25,7
0.0,0.0,83.33333333,70,0,7,5.25,2
118.0,-11.69,0.0,30,2,4,6.75,7
120.67,-12.76,0.0,30,2,3,5.25,5
120.0,-12.5,0.0,90,1,16,8.0,10
0.0,0.0,83.33333333,150,0,7,4.25,12
0.0,0.0,83.33333333,140,0,18,4.75,14
118.62,-11.95,0.0,160,2,5,8.0,5
119.5,-12.3,0.0,40,2,19,3.5,15
0.0,0.0,83.33333333,120,0,4,7.25,3
121.2,-12.96,0.0,100,1,20,3.0,6
0.0,0.0,83.33333333,130,0,17,8.0,14
0.0,0.0,83.33333333,160,0,4,2.5,5
120.58,-12.73,0.0,160,2,13,2.75,15
120.47,-12.68,0.0,100,1,3,4.5,11
119.93,-12.47,0.0,200,2,12,0.75,16
120.74,-12.79,0.0,180,2,13,1.0,12
119.56,-12.32,0.0,30,2,9,9.75,6
119.83,-12.43,0.0,40,1,6,2.5,16
119.76,-12.41,0.0,140,2,6,7.0,3
119.89,-12.46,0.0,60,1,2,6.0,12
0.0,0.0,83.33333333,80,0,3,8.5,12
121.37,-13.02,0.0,160,2,18,5.75,10
0.0,0.0,83.33333333,120,0,19,2.5,17
0.0,0.0,83.33333333,180,0,10,1.5,9
119.52,-12.31,0.0,140,2,6,1.25,5
121.2,-12.96,0.0,150,2,13,6.25,5
0.0,0.0,83.33333333,110,0,12,4.75,17
0.0,0.0,83.33333333,130,0,9,9.75,8
120.7,-12.77,0.0,190,1,11,7.25,4
102.5,-2.33,0.0,40,0,7,6.25,2
0.0,0.0,83.33333333,30,0,20,4.5,20
0.0,0.0,83.33333333,30,0,13,9.5,13
120.5,-12.69,0.0,80,1,20,6.25,5
101.82,-1.72,0.0,110,0,10,4.5,15
120.33,-12.63,0.0,20,1,13,0.0,2
119.0,-12.1,0.0,40,2,5,4.75,19
0.0,0.0,83.33333333,20,0,5,3.0,9
120.47,-12.68,0.0,100,2,16,7.25,6
119.75,-12.4,0.0,80,2,2,4.5,15
122.0,-13.25,0.0,10,2,14,1.25,18
119.73,-12.4,0.0,50,2,1,2.0,14
120.22,-12.59,0.0,60,2,16,0.0,20
120.27,-12.6,0.0,150,1,20,1.75,5
118.85,-12.04,0.0,110,2,9,1.5,4
116.67,-11.11,0.0,20,2,9,8.25,18
0.0,0.0,83.33333333,10,0,5,7.5,18
120.16,-12.56,0.0,170,2,20,9.25,13
0.0,0.0,83.33333333,110,0,11,5.25,20
119.74,-12.4,0.0,130,1,15,9.25,11
121.2,-12.96,0.0,50,1,2,9.75,5
120.67,-12.76,0.0,10,2,10,6.75,2
121.78,-13.17,0.0,30,2,3,1.25,8
119.37,-12.25,0.0,170,2,13,0.0,7
119.29,-12.22,0.0,170,1,8,3.5,15
120.67,-12.76,0.0,150,1,12,7.75,9
0.0,0.0,83.33333333,150,0,4,1.25,2
0.0,0.0,83.33333333,90,0,18,5.5,5
119.0,-12.1,0.0,140,1,2,8.75,17
0.0,0.0,83.33333333,50,0,15,0.0,11
119.33,-12.24,0.0,110,1,2,8.75,18
120.75,-12.79,0.0,160,1,12,8.5,3
118.67,-11.97,0.0,80,2,4,2.5,13
100.83,-0.81,0.0,120,0,12,7.5,13
120.77,-12.8,0.0,130,1,15,9.0,15
0.0,0.0,83.33333333,30,0,10,4.75,8
117.7,-11.56,0.0,90,1,10,7.75,15
119.49,-12.3,0.0,130,2,4,6.0,16
118.76,-12.0,0.0,70,1,12,4.5,15
120.67,-12.76,0.0,20,2,13,3.75,10
124.22,-14.03,0.0,30,2,4,2.5,14
121.21,-12.96,0.0,110,2,6,1.25,11
120.31,-12.62,0.0,170,2,1,3.5,13
121.6,-13.11,0.0,150,2,10,8.5,18
120.22,-12.59,0.0,90,2,3,6.75,9
0.0,0.0,83.33333333,140,0,6,1.5,4
120.77,-12.8,0.0,200,1,6,9.25,2
119.7,-12.38,0.0,110,1,19,0.5,15
119.86,-12.44,0.0,140,1,15,6.0,20
120.56,-12.72,0.0,190,2,17,7.25,15
0.0,0.0,83.33333333,100,0,13,7.0,15
120.19,-12.57,0.0,70,1,15,4.25,3
0.0,0.0,83.33333333,120,0,16,4.75,19
0.0,0.0,83.33333333,130,0,14,9.75,10
120.0,-12.5,0.0,120,1,19,0.25,10
119.73,-12.4,0.0,150,2,10,4.5,2
120.72,-12.78,0.0,130,1,4,2.0,7
0.0,0.0,83.33333333,30,0,20,0.25,9
123.0,-13.61,0.0,20,1,3,1.0,17
123.56,-13.8,0.0,30,2,15,4.0,12
119.89,-12.46,0.0,60,1,15,5.25,17
122.0,-13.25,0.0,40,1,1,7.0,17
120.85,-12.83,0.0,180,1,8,4.25,20
0.0,0.0,83.33333333,120,0,20,9.75,2
121.43,-13.04,0.0,140,1,8,1.25,9
0.0,0.0,83.33333333,50,0,20,4.25,2
118.96,-12.09,0.0,90,1,6,7.75,2
0.0,0.0,83.33333333,70,0,18,7.25,4
120.11,-12.54,0.0,60,1,20,7.25,2
117.67,-11.55,0.0,20,2,2,9.75,10
0.0,0.0,83.33333333,120,0,11,7.0,5
118.37,-11.85,0.0,160,2,6,1.75,13
119.67,-12.37,0.0,60,2,19,7.0,14
0.0,0.0,83.33333333,100,0,9,2.75,19
118.77,-12.01,0.0,130,1,20,6.0,19
119.54,-12.32,0.0,130,2,19,9.25,19
120.07,-12.53,0.0,100,2,13,4.0,18
119.22,-12.19,0.0,180,2,4,3.0,3
119.83,-12.43,0.0,120,1,18,2.5,5
119.53,-12.31,0.0,170,2,17,7.0,13
101.58,-1.51,0.0,190,0,19,6.0,5
120.7,-12.77,0.0,180,2,2,8.0,9
0.0,0.0,83.33333333,120,0,17,5.75,11
100.83,-0.81,0.0,120,0,6,9.25,6
120.57,-12.72,0.0,200,2,15,6.25,15
133.57,-10.76,16.66666667,140,2,1,0.0,17
119.47,-12.29,0.0,100,1,16,8.5,10
119.63,-12.35,0.0,90,1,20,9.75,6
117.0,-11.26,0.0,60,1,11,8.25,10
118.38,-11.85,0.0,70,2,6,9.75,13
122.22,-13.33,0.0,60,2,8,6.75,19
100.56,-0.55,0.0,180,0,7,8.75,16
121.41,-13.04,0.0,90,2,8,5.75,15
120.96,-12.87,0.0,90,2,17,3.5,18
120.73,-12.78,0.0,200,1,2,7.5,17
122.0,-13.25,0.0,120,1,9,5.25,2
119.89,-12.46,0.0,190,2,2,4.5,4
135.5,-7.56,16.66666667,100,0,1,0.0,8
110.0,-7.69,0.0,10,0,6,4.0,2
0.0,0.0,83.33333333,70,0,11,5.0,11
118.19,-11.77,0.0,70,2,3,0.75,19
119.62,-12.35,0.0,140,2,4,6.75,13
118.28,-11.81,0.0,190,2,9,2.25,7
120.27,-12.6,0.0,150,2,16,6.5,11
121.67,-13.13,0.0,120,2,4,3.0,12
119.5,-12.3,0.0,160,2,14,5.5,19
119.94,-12.48,0.0,120,1,4,5.5,15
119.45,-12.28,0.0,110,1,7,5.25,18
119.62,-12.35,0.0,70,2,13,1.75,14
101.54,-1.47,0.0,130,0,6,0.75,9
120.67,-12.76,0.0,180,1,13,8.75,5
118.58,-11.93,0.0,160,2,3,9.5,1
0.0,0.0,83.33333333,110,0,4,9.0,3
121.56,-13.09,0.0,30,2,12,5.5,5
120.43,-12.67,0.0,140,2,2,4.0,2
119.05,-12.12,0.0,70,1,12,1.25,16
100.59,-0.58,0.0,170,0,20,0.75,19
117.7,-11.56,0.0,90,2,20,3.5,19
120.52,-12.7,0.0,90,1,5,7.5,10
0.0,0.0,83.33333333,80,0,17,6.75,3
120.28,-12.61,0.0,120,1,14,4.0,10
120.73,-12.78,0.0,200,2,9,5.5,12
120.33,-12.63,0.0,20,2,3,1.5,7
121.39,-13.03,0.0,120,2,12,6.5,10
101.0,-0.97,0.0,200,0,16,1.25,3
122.67,-13.49,0.0,10,1,5,9.0,4
120.44,-12.67,0.0,60,2,2,5.25,3
120.16,-12.56,0.0,170,2,12,0.25,17
0.0,0.0,83.33333333,200,0,6,5.0,3
120.24,-12.59,0.0,170,2,13,2.75,9
100.56,-0.55,0.0,180,0,1,9.25,5
121.0,-12.88,0.0,140,2,9,1.25,6
101.11,-0.81,0.0,180,0,5,0.25,14
0.0,0.0,83.33333333,130,0,8,1.5,6
121.87,-13.2,0.0,50,1,19,7.5,5
121.67,-13.13,0.0,100,2,12,1.25,11
117.07,-11.29,0.0,50,2,13,9.75,17
121.05,-12.9,0.0,70,1,1,5.75,10
121.76,-13.17,0.0,170,1,8,8.25,9
100.77,-0.75,0.0,130,0,15,4.5,1
120.27,-12.6,0.0,100,1,20,5.5,14
119.33,-12.24,0.0,50,1,5,7.75,6
0.0,0.0,83.33333333,10,0,18,9.5,4
116.67,-11.11,0.0,10,1,15,6.25,10
0.0,0.0,83.33333333,20,0,5,8.5,19
122.0,-13.25,0.0,10,1,15,10.0,12
0.0,0.0,83.33333333,100,0,19,5.75,18
120.44,-12.67,0.0,60,1,18,10.0,8
121.24,-12.97,0.0,70,2,10,1.0,10
0.0,0.0,83.33333333,70,0,17,2.0,17
120.0,-12.5,0.0,140,1,2,9.5,3
101.43,-1.37,0.0,140,0,5,7.25,15
120.67,-12.76,0.0,60,1,14,8.25,12
101.43,-1.37,0.0,140,0,2,8.5,4
0.0,0.0,83.33333333,120,0,18,3.25,11
119.52,-12.31,0.0,140,1,2,1.25,9
119.19,-12.18,0.0,140,2,9,1.75,13
120.63,-12.74,0.0,190,2,13,8.75,4
123.56,-13.8,0.0,60,1,20,1.75,17
101.88,-1.78,0.0,160,0,3,2.25,16
119.07,-12.13,0.0,50,2,20,0.75,19
120.81,-12.81,0.0,180,2,13,5.75,4
120.55,-12.71,0.0,170,1,18,8.5,11
120.1,-12.54,0.0,200,1,1,9.75,13
120.37,-12.64,0.0,90,2,13,9.5,20
0.0,0.0,83.33333333,60,0,12,8.75,3
125.33,-14.39,0.0,10,1,10,6.5,11
118.67,-11.97,0.0,40,2,6,7.5,1
116.0,-10.81,0.0,10,2,17,6.0,5
0.0,0.0,83.33333333,160,0,5,5.0,2
0.0,0.0,83.33333333,20,0,20,9.5,13
115.33,-10.5,0.0,10,2,3,5.25,1
120.06,-12.52,0.0,110,2,16,2.25,16
117.47,-11.46,0.0,100,1,10,3.0,15
125.48,-15.91,0.0,90,1,2,0.0,12
0.0,0.0,83.33333333,180,0,19,2.0,3
105.0,-4.35,0.0,20,0,4,3.5,18
124.67,-14.18,0.0,10,1,14,8.25,15
121.37,-13.02,0.0,180,1,13,2.5,18
100.91,-0.88,0.0,110,0,20,10.0,18
0.0,0.0,83.33333333,10,0,14,9.0,14
0.0,0.0,83.33333333,130,0,8,1.25,1
120.0,-12.5,0.0,90,2,20,1.0,7
120.77,-12.8,0.0,200,2,9,8.5,14
