MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
75.4,2.19,0.0,40,2,3,2.75,10
73.68,7.55,25.0,190,2,18,4.25,6
75.4,11.58,37.5,130,2,1,0.75,15
72.57,7.89,25.0,170,2,17,4.25,13
100.0,0.0,37.5,180,0,17,6.75,14
75.7,6.93,0.0,200,2,19,4.25,1
76.69,6.43,0.0,130,2,3,2.5,17
69.08,8.99,25.0,30,1,6,9.25,10
100.0,0.0,37.5,190,0,8,8.25,2
74.66,7.25,25.0,90,2,8,5.5,4
72.42,7.94,25.0,80,2,13,6.0,17
74.78,7.21,25.0,10,1,1,5.5,9
72.65,7.87,25.0,190,2,9,3.5,5
78.84,2.55,12.5,40,2,1,0.25,19
72.99,7.76,25.0,120,1,5,6.5,10
71.15,8.33,25.0,150,1,2,6.25,9
74.57,7.27,25.0,180,1,19,0.5,6
76.78,6.6,0.0,190,2,10,3.75,2
75.77,8.91,0.0,160,2,1,4.5,8
74.22,7.38,25.0,180,1,10,1.25,10
100.0,0.0,37.5,40,0,5,9.5,16
75.9,6.87,0.0,190,1,1,2.75,14
74.21,7.39,25.0,200,2,9,5.0,5
72.67,7.86,25.0,140,1,5,6.0,3
72.15,8.02,25.0,60,2,20,6.0,3
74.52,7.29,25.0,100,1,6,3.5,2
100.0,0.0,37.5,110,0,12,3.5,11
73.65,7.56,25.0,60,2,17,1.5,18
100.0,0.0,37.5,120,0,2,2.5,11
99.75,0.07,0.0,170,0,13,8.0,18
73.9,7.48,25.0,30,2,11,6.75,1
70.39,8.57,25.0,10,2,1,6.75,5
72.95,7.77,25.0,150,2,12,1.5,1
72.48,7.92,25.0,20,2,16,2.25,3
76.75,6.61,0.0,50,2,4,4.5,7
73.01,7.75,25.0,150,2,14,5.5,18
74.9,7.83,25.0,120,2,1,4.75,3
99.7,0.08,0.0,140,0,8,6.25,14
72.94,7.78,25.0,80,2,16,9.25,20
99.74,0.07,0.0,160,0,1,7.0,9
100.0,0.0,37.5,50,0,9,2.0,5
100.0,0.0,37.5,110,0,4,2.5,18
69.74,8.78,25.0,70,1,16,4.5,14
73.99,7.45,25.0,180,1,12,1.25,11
100.0,0.0,37.5,10,0,5,8.5,19
75.73,6.92,0.0,30,2,20,3.75,19
