idX,centerX,YearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
1,2,1979,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,25.9,117.6,808,15.3
2,2,1979,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,24.6,117.6,767,15.0
3,2,1979,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,7.7,31.2,240,10.1
4,2,1979,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,8.2,36.0,256,10.4
5,2,1979,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,9.7,25.2,302,11.0
6,2,1979,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,2.2,8.4,69,6.6
7,2,1979,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,3.5,10.8,109,7.8
8,2,1982,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,66.6,352.8,2077,21.0
9,1,1980,1,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,2,0,0,0,1,7.5,72.0,226,13.6
10,1,1980,1,0,0,0,2,2,1,0,0,0,1,1,1,0,2,0,3,2,0,1,0,1,20.0,72.0,566,14.4
11,1,1984,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,3,2,0,1,0,1,6.0,24.0,188,9.9
12,1,1980,1,0,0,0,2,2,1,0,0,0,1,1,1,0,2,0,3,2,0,1,0,1,100.0,360.0,2832,25.2
13,1,1985,1,0,0,0,2,2,1,0,0,0,1,1,1,0,1,0,3,2,1,1,0,1,11.3,36.0,456,12.8
14,1,1980,1,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,1,3,1,0,1,100.0,215.0,5434,30.1
15,1,1983,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,3,2,0,1,0,1,20.0,48.0,626,15.1
16,1,1982,1,0,0,0,2,2,1,0,0,0,1,1,1,0,1,0,2,2,3,1,0,1,100.0,360.0,4342,28.0
